iter	Logloss
0	0.6393373221
1	0.6019428944
2	0.5603409838
3	0.534124848
4	0.5028012167
5	0.4773532944
6	0.4540365334
7	0.4354235758
8	0.4194332865
9	0.4036091542
10	0.3902199508
11	0.3775716692
12	0.3676118275
13	0.3575486561
14	0.3477996724
15	0.340901778
16	0.3352866973
17	0.3282545205
18	0.322727613
19	0.3170017012
20	0.3120482272
21	0.3074516962
22	0.3033333849
23	0.2986669348
24	0.2947055893
25	0.2926342343
26	0.290132561
27	0.2869812114
28	0.283454511
29	0.2808381151
30	0.2787487875
31	0.2756253441
32	0.2727763029
33	0.2701611871
34	0.2683703531
35	0.2659459466
36	0.2637525981
37	0.2622048807
38	0.2608601615
39	0.2588329955
40	0.2572543765
41	0.256100597
42	0.2545057463
43	0.2524934807
44	0.2513760048
45	0.2500422945
46	0.2482791363
47	0.2475598226
48	0.2463895555
49	0.2446505655
50	0.2430177215
51	0.2419573125
52	0.2408750393
53	0.2393405069
54	0.2379420492
55	0.2366470235
56	0.2349195032
57	0.2338431954
58	0.2324376714
59	0.2313025558
60	0.2297174595
61	0.2289067979
62	0.2278483346
63	0.2270053633
64	0.2262201501
65	0.2252640692
66	0.2234262556
67	0.2221995616
68	0.2209353095
69	0.2195698271
70	0.2190402242
71	0.2179554933
72	0.2171784983
73	0.2159846261
74	0.2149533265
75	0.2138994332
76	0.2129527866
77	0.2119793476
78	0.2110652796
79	0.2101876176
80	0.2089832613
81	0.207675729
82	0.2067728747
83	0.2057864042
84	0.2049952257
85	0.2038513286
86	0.2028936092
87	0.2023737863
88	0.2013000898
89	0.2007419663
90	0.1999681332
91	0.198974507
92	0.1981766464
93	0.1972941456
94	0.1965507661
95	0.1956699551
96	0.1943836724
97	0.1936237412
98	0.1927950302
99	0.1923101028
