iter	Passed	Remaining
0	17	1715
1	35	1763
2	53	1734
3	70	1702
4	90	1723
5	111	1744
6	131	1748
7	135	1552
8	155	1577
9	175	1582
10	197	1600
11	218	1600
12	239	1606
13	259	1592
14	276	1566
15	293	1542
16	310	1517
17	328	1496
18	345	1473
19	364	1456
20	381	1436
21	399	1414
22	416	1394
23	436	1382
24	457	1372
25	476	1356
26	494	1338
27	516	1328
28	539	1320
29	560	1308
30	582	1296
31	601	1278
32	620	1260
33	639	1240
34	656	1219
35	673	1197
36	691	1177
37	708	1156
38	726	1135
39	743	1114
40	760	1094
41	778	1074
42	795	1054
43	813	1034
44	830	1015
45	848	995
46	869	980
47	872	945
48	893	930
49	912	912
50	932	896
51	954	881
52	976	865
53	996	849
54	1016	831
55	1033	812
56	1050	792
57	1068	773
58	1085	754
59	1102	735
60	1121	716
61	1138	697
62	1155	678
63	1173	660
64	1190	640
65	1207	622
66	1225	603
67	1243	585
68	1260	566
69	1280	548
70	1301	531
71	1321	514
72	1341	496
73	1363	479
74	1383	461
75	1405	443
76	1428	426
77	1445	407
78	1465	389
79	1483	370
80	1500	351
81	1517	333
82	1535	314
83	1553	295
84	1570	277
85	1588	258
86	1605	239
87	1625	221
88	1643	203
89	1670	185
90	1687	166
91	1705	148
92	1726	129
93	1743	111
94	1761	92
95	1779	74
96	1799	55
97	1821	37
98	1844	18
99	1863	0
